"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/24/2022","AQS","350010023","1","0.4","ppm","5","DEL NORTE HIGH SCHOOL","18","75.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/25/2022","AQS","350010023","1","0.7","ppm","8","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/26/2022","AQS","350010023","1","0.1","ppm","1","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/27/2022","AQS","350010023","1","0.6","ppm","7","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/28/2022","AQS","350010023","1","0.3","ppm","3","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/29/2022","AQS","350010023","1","0.6","ppm","7","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/30/2022","AQS","350010023","1","0.7","ppm","8","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"01/31/2022","AQS","350010023","1","0.8","ppm","9","DEL NORTE HIGH SCHOOL","18","75.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/01/2022","AQS","350010023","1","0.7","ppm","8","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/02/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
